char,trad,sub
一,,
丁,,
七,,
万,萬,
丈,,
三,,
上,,
下,,
不,,
与,與,
丐,,
丑,,
专,專,
且,,
世,,
丘,,
丙,,
业,業,
丛,叢,
丢,丟,
两,兩,
严,嚴,
丧,喪,
个,個,
丫,,
中,,
丰,豐,
串,,
丸,,
丹,,
为,為爲,
主,,
丽,麗,
举,舉擧,
乃,,
久,,
么,麼,
义,義,
之,,
乍,,
乎,,
乏,,
乐,樂,
乒,,
乓,,
乔,喬,
乖,,
乘,,
乙,,
九,,
乞,,
也,,
习,習,
乡,鄉鄕,
书,書,
乱,亂,
乳,,
乾,,
了,,
予,,
争,爭,
事,,
二,,
于,,
亏,虧,
云,雲,
互,,
五,,
井,,
亚,亞,
些,,
亡,,
亢,,
交,,
亥,,
亦,,
亩,,
享,,
京,,
亭,,
亮,,
亲,親,
人,,
亿,億,
什,,
仁,,
仅,僅,
仆,,
仇,,
今,,
介,,
仍,,
从,從,
仑,侖,
仓,倉,
仔,,
他,,
仗,,
付,,
仙,,
代,,
令,,
以,,
仪,儀,
仰,,
仲,,
件,,
价,價,
任,,
份,,
仿,,
企,,
伊,,
伍,,
伏,,
伐,,
休,,
伕,僕,
众,眾,
优,優,
伙,,
会,會,
伞,傘,
伟,偉,
传,傳,
伤,傷,
伦,倫,
伪,偽僞,
伯,,
估,,
伴,,
伶,,
伸,,
伺,,
似,,
佃,,
但,,
位,,
低,,
住,,
佐,,
佑,,
体,軆,
何,,
余,餘,
佛,,
作,,
你,,
佣,傭,
佩,,
佳,,
使,,
侄,,
侈,,
例,,
侍,,
供,,
依,,
侠,俠,
侣,侶,
侥,僥,
侨,僑,
侭,儘,
侮,,
侯,,
侵,,
便,,
係,,
促,,
俄,,
俊,,
俏,,
俐,,
俗,,
俘,,
保,,
信,,
俩,倆,
俭,儉,
修,,
俯,,
俱,,
俺,,
倍,,
們,,
倒,,
倔,,
倘,,
候,,
倚,,
借,,
倡,,
値,,
倦,,
假,,
偎,,
偏,,
做,,
停,,
健,,
側,,
偵,,
偶,,
偷,偸,
偿,償,
傅,,
傍,,
催,,
傲,,
債,,
傻,,
傾,,
像,,
僚,,
僧,,
僵,,
僻,,
儒,,
儲,,
儿,兒,
允,,
元,,
兄,,
充,,
兆,,
先,,
光,,
克,,
免,,
兑,兌,
兔,,
党,黨,
