character	reading	class	reference	encoding	usage
丫	a	【汉】		U+4E2B	a hoàn
阿	a	【汉】		U+963F	a tòng, a dua, a phiến, A La Hán
	a	【声】			a ha!
亚	á	【汉】		U+4E9A	Châu Á, á kim, á thánh
	á	【声】			á đau
哑	á	【汉】		U+54D1	á khẩu
	à	【声】			Thế à?
	ã	【声】			ồn ã
妸	ả	【音】	https://en.wiktionary.org/wiki/%E1%BA%A3#Noun	U+59B8	êm ả, ả đào
	ạ	【声】			Vâng ạ!, Chào cụ ạ
恶	ác	【汉】		U+6076	thiện ác, ác nhân, ác mộng, ác tính, ác tâm
鴉	ác	【訓】	https://en.wiktionary.org/wiki/%C3%A1c#Etymology_2_2	U+9D09	ác là, bóng ác
	ắc	【声】			ăng ắc, đầy ắc
	ạc	【声】			ậm ạc
厄	ách	【汉】		U+5384	tai ách
阨	ách	【汉】		U+9628	ách tắc
呃	ách	【音】	https://en.wiktionary.org/wiki/%C3%A1ch#Etymology_3	U+5443	anh ách
軛	ách	【汉】		U+8EDB	ách trâu, ách nô lệ
	ạch	【声】			ì ạch, lạch ạch
哀	ai	【汉】		U+54C0	ai oán
誰	ai	【訓】	https://en.wiktionary.org/wiki/ai#Etymology_1_10	U+8AB0	ai đó, ai ai
埃	ai	【汉】		U+57C3	trần ai
愛	ái	【汉】		U+611B	thân ái, ái tình, luyến ái, khả ái, ái quốc, bác ái, lệnh ái
	ái	【声】			ái chà
隘	ải	【汉】		U+9698	ải quan, khổ ải, Ải Chi Lăng
塧	ải	【音】	https://en.wiktionary.org/wiki/%E1%BA%A3i#Etymology_2	U+5867	lạt ải, thừng ải, phơi cho ải đất
縊	ải	【汉】		U+7E0A	ải sát, tự ải
庵	am	【汉】		U+5EB5	cái am
諳	am	【汉】		U+8AF3	am hiểu
暗	ám	【汉】		U+6697	u ám, ám thị, ám hiệu, mờ ám, bị ma ám, mồ hóng ám vách bếp
𩹎	ám	【音】	https://en.wiktionary.org/wiki/%C3%A1m#Etymology_1_3	U+29E4E	cháo ám
撖	ẵm	【音】	https://en.wiktionary.org/wiki/%E1%BA%B5m	U+6496	ẵm bế, ẵm bồng
音	âm	【汉】		U+97F3	phát âm, âm nhạc, âm thanh, ngũ âm
阴	âm	【汉】		U+9634	âm lịch, âm mưu, âm điện, âm tính, âm thầm, âm ỉ
	âm	【声】			âm ấm
荫	ấm	【汉】		U+836B	ấm sinh, cậu ấm
𩐛	ấm	【音】	https://en.wiktionary.org/wiki/%E1%BA%A5m#Etymology_2	U+2941B	ấm cà phê, ấm nước, ấm tích
𤋾	ấm	【音】	https://en.wiktionary.org/wiki/%E1%BA%A5m#Etymology_1	U+242FE	êm ấm, ấm cúng, ấm áp, ấm đầu, ấm ức, ấm ớ
𩆢	ầm	【音】	https://en.wiktionary.org/wiki/%E1%BA%A7m	U+291A2	ầm ừ, ầm ĩ, ầm ầm
飲	ẩm	【汉】		U+98F2	ẩm thực, ẩm trà, đối ẩm
𤀔	ẩm	【音】	https://en.wiktionary.org/wiki/%E1%BA%A9m#Etymology_1	U+24014	ẩm ướt, ẩm thấp, ê ẩm
	ẩm	【声】			ế ẩm
	ậm	【声】			ậm ạc
黯	ảm	【汉】		U+9EEF	ảm đạm
安	an	【汉】		U+5B89	an toàn, an thân, an cư lạc nghiệp
按	án	【汉】		U+6309	án ngữ
案	án	【汉】		U+6848	đề án, dự án, phá án
食	ăn	【訓】	https://en.wiktionary.org/wiki/%C4%83n#Vietnamese	U+98DF	ăn cơm, ăn bám, thức ăn
恩	ân	【汉】		U+6069	ân tình, ân xá, ân oán, ân huệ, khai ân
殷	ân	【汉】		U+6BB7	ân cần
按	ấn	【非】	https://en.wiktionary.org/wiki/%E1%BA%A5n#Etymology_1_2	U+6309	ấn chặt, ấn nút chai
